location,1999_opioid_deaths,1999_drug_deaths,1999_change_opioid,1999_change_drug,2000_opioid_deaths,2000_drug_deaths,2000_change_opioid,2000_change_drug,2001_opioid_deaths,2001_drug_deaths,2001_change_opioid,2001_change_drug,2002_opioid_deaths,2002_drug_deaths,2002_change_opioid,2002_change_drug,2003_opioid_deaths,2003_drug_deaths,2003_change_opioid,2003_change_drug,2004_opioid_deaths,2004_drug_deaths,2004_change_opioid,2004_change_drug,2005_opioid_deaths,2005_drug_deaths,2005_change_opioid,2005_change_drug,2006_opioid_deaths,2006_drug_deaths,2006_change_opioid,2006_change_drug,2007_opioid_deaths,2007_drug_deaths,2007_change_opioid,2007_change_drug,2008_opioid_deaths,2008_drug_deaths,2008_change_opioid,2008_change_drug,2009_opioid_deaths,2009_drug_deaths,2009_change_opioid,2009_change_drug,2010_opioid_deaths,2010_drug_deaths,2010_change_opioid,2010_change_drug,2011_opioid_deaths,2011_drug_deaths,2011_change_opioid,2011_change_drug,2012_opioid_deaths,2012_drug_deaths,2012_change_opioid,2012_change_drug,2013_opioid_deaths,2013_drug_deaths,2013_change_opioid,2013_change_drug,2014_opioid_deaths,2014_drug_deaths,2014_change_opioid,2014_change_drug,2015_opioid_deaths,2015_drug_deaths,2015_change_opioid,2015_change_drug,2016_opioid_deaths,2016_drug_deaths,2016_change_opioid,2016_change_drug,2017_opioid_deaths,2017_drug_deaths,2017_change_opioid,2017_change_drug
United States,2.9,6.1,NSD,NSD,3,6.2,0.03,0.02,3.3,6.8,0.1,0.1,4.1,8.2,0.24,0.21,4.5,8.9,0.1,0.09,4.7,9.4,0.04,0.06,5.1,10.1,0.09,0.07,5.9,11.5,0.16,0.14,6.1,11.9,0.03,0.03,6.4,11.9,0.05,0.0,6.6,11.9,0.03,0.0,6.8,12.3,0.03,0.03,7.3,13.2,0.07,0.07,7.4,13.1,0.014,-0.008,7.9,13.8,0.07,0.05,9.0,14.7,0.14,0.07,10.4,16.3,0.156,0.109,13.3,19.8,0.28,0.21,14.9,21.7,0.12,0.1
Alabama,0.8,3.9,NSD,NSD,1,4.5,0.25,0.15,1.3,4.9,0.3,0.09,1.6,4.8,0.23,-0.02,1.1,4.4,-0.31,-0.08,1.8,6.4,0.64,0.45,1.8,6.3,0,-0.02,2.7,8.7,0.5,0.38,3.6,11.1,0.33,0.28,4.1,13.0,0.14,0.17,4.5,13.6,0.1,0.05,4.1,11.8,-0.09,-0.13,3.8,11.8,-0.07,0,3.6,12.1,-0.053,0.025,3.5,12.7,-0.03,0.05,5.6,15.2,0.6,0.2,6.1,15.7,0.08900000000000001,0.033,7.5,16.2,0.23,0.03,9.0,18.0,0.2,0.11
Alaska,4,7.5,NSD,NSD,4,7.1,0,-0.05,NR,9.4,NSD,0.32,NSD,12.2,NSD,0.3,NR,12.7,NSD,0.04,NR,12.7,NSD,0,NR,11.4,NSD,-0.1,4.1,11.1,NSD,-0.03,NR,10.1,NSD,-0.09,12.5,18.1,NSD,0.79,12.5,17.9,0,-0.01,8.7,11.6,-0.3,-0.35,8.7,14.2,0,0.22,10.8,17.4,0.241,0.225,9.2,14.4,-0.15,-0.17,10.6,16.8,0.15,0.17,11.0,16.0,0.038,-0.048,12.5,16.8,0.14,0.05,13.9,20.2,0.11,0.2
Arizona,4.7,10.6,NSD,NSD,4.8,10.6,0.02,0,5.2,10.9,0.08,0.03,6.2,12,0.19,0.1,6.4,12.7,0.03,0.06,6.3,13.7,-0.02,0.08,6.6,14.1,0.05,0.03,7.8,14.9,0.18,0.06,7.7,15.7,-0.01,0.05,8.1,13.5,0.05,-0.14,9.8,16.1,0.21,0.19,9.9,17.5,0.01,0.09,8.8,16.9,-0.11,-0.03,8.2,17.7,-0.068,0.047,8.2,18.7,0,0.06,8.8,18.2,0.07,-0.03,10.2,19.0,0.159,0.044000000000000004,11.4,20.3,0.12,0.07,13.5,22.2,0.18,0.09
Arkansas,1.1,4.4,NSD,NSD,0.8,5.4,-0.27,0.23,1.1,4.8,0.38,-0.11,3.5,6.8,2.18,0.42,3.4,7.0,-0.03,0.03,4.8,8.7,0.41,0.24,4.6,10.1,-0.04,0.16,5.1,10.5,0.11,0.04,5.4,10.9,0.06,0.04,7.2,13.1,0.33,0.2,7.2,12.6,0,-0.04,6.8,12.5,-0.06,-0.01,6.2,12.6,-0.09,0.01,6,13.1,-0.032,0.04,5.6,11.1,-0.07,-0.15,6.3,12.6,0.13,0.14,7.2,13.8,0.14300000000000002,0.095,5.9,14.0,-0.18,0.01,6.5,15.5,0.1,0.11
California,4.5,8.1,NSD,NSD,3,5.8,-0.33,-0.28,1.6,3.6,-0.47,-0.38,4.2,8.7,1.63,1.42,4,8.9,-0.05,0.02,4,8.8,0,-0.01,3.8,9,-0.05,0.02,4.1,9.6,0.08,0.07,4.5,10.5,0.1,0.09,4.8,10.4,0.07,-0.01,5.2,10.7,0.08,0.03,5,10.6,-0.04,-0.01,5,10.7,0,0.01,4.4,10.3,-0.12,-0.037,4.9,11.1,0.11,0.08,5.0,11.1,0.02,0.0,4.9,11.3,-0.02,0.018000000000000002,4.9,11.2,0.0,-0.01,5.3,11.7,0.08,0.04
Colorado,3.7,8,NSD,NSD,3.9,7.9,0.05,-0.01,4.2,9,0.08,0.14,4.2,9.7,0,0.08,4.5,10.7,0.07,0.1,4.8,10.9,0.07,0.02,6.2,12.7,0.29,0.17,6.7,12.8,0.08,0.01,7,14.7,0.04,0.15,7.0,14.8,0,0.01,7.7,15.0,0.1,0.01,5.9,12.7,-0.23,-0.15,8,16.1,0.36,0.27,7.7,15.0,-0.038,-0.068,8,15.5,0.04,0.03,9.4,16.3,0.18,0.05,8.7,15.4,-0.07400000000000001,-0.055,9.5,16.6,0.09,0.08,10.0,17.6,0.05,0.06
Connecticut,4.4,9,NSD,NSD,4.8,9.2,0.09,0.02,4.3,8.8,-0.1,-0.04,5,10.3,0.16,0.17,4.9,8.8,-0.02,-0.15,5.7,9.6,0.16,0.09,4.7,8.5,-0.18,-0.11,6.4,11.5,0.36,0.35,7,12.2,0.09,0.06,6.5,10.7,-0.07,-0.12,6.2,11.0,-0.05,0.03,6.3,10.1,0.02,-0.08,6,11.2,-0.05,0.11,5.7,12.1,-0.05,0.08,12.3,16.0,1.16,0.32,15.2,17.6,0.24,0.1,19.2,22.1,0.263,0.256,24.5,27.4,0.28,0.24,27.7,30.9,0.13,0.13
Delaware,4.1,6.4,NSD,NSD,3.7,7,-0.1,0.09,4.5,8,0.22,0.14,6,10.5,0.33,0.31,4.5,9.4,-0.25,-0.1,4.2,7.6,-0.07,-0.19,3.5,7.5,-0.17,-0.01,4.5,9.4,0.29,0.25,5.1,11.4,0.13,0.21,7.7,14.3,0.51,0.25,9.3,15.4,0.21,0.08,12,16.6,0.29,0.08,12.6,17.6,0.05,0.06,9.2,15.2,-0.27,-0.136,12.8,18.7,0.39,0.23,13.9,20.9,0.09,0.12,14.8,22.0,0.065,0.053,16.9,30.8,0.14,0.4,27.8,37.0,0.64,0.2
District of Columbia,4.9,8.3,NSD,NSD,7.7,13.4,0.57,0.61,8.1,16.2,0.05,0.21,5.2,10.9,-0.36,-0.33,10.7,18.1,1.06,0.66,9.4,15.5,-0.12,-0.14,7.8,13.7,-0.17,-0.12,9.6,17.8,0.23,0.3,5.2,10.8,-0.46,-0.39,5.1,9.6,-0.02,-0.11,NSD,4.1,NSD,-0.57,5.8,12.9,NSD,2.15,8,13.5,0.38,0.05,7.3,12.6,-0.088,-0.067,8.6,15.0,0.18,0.19,9.4,14.2,0.09,-0.05,14.5,18.6,0.5429999999999999,0.31,30.0,38.8,1.07,1.09,34.7,44.0,0.16,0.13
